100 40
0 1 4
0 2 3
0 3 7
0 4 3
0 5 5
0 6 9
0 7 5
0 8 9
0 9 5
0 10 6
0 11 4
0 12 8
0 13 3
0 14 6
0 15 9
0 16 9
0 17 2
0 18 6
0 19 3
0 20 4
0 21 7
0 22 9
0 23 7
0 24 3
0 25 9
0 26 5
0 27 8
0 28 6
0 29 4
0 30 0
0 31 3
0 32 1
0 33 9
0 34 6
0 35 7
0 36 5
0 37 2
0 38 4
0 39 6
0 40 9
0 41 0
0 42 4
0 43 2
0 44 3
0 45 3
0 46 8
0 47 0
0 48 8
0 49 8
0 50 6
0 51 5
0 52 1
0 53 6
0 54 1
0 55 7
0 56 1
0 57 1
0 58 8
0 59 2
0 60 2
0 61 7
0 62 0
0 63 8
0 64 6
0 65 6
0 66 6
0 67 4
0 68 1
0 69 6
0 70 6
0 71 1
0 72 5
0 73 0
0 74 7
0 75 9
0 76 0
0 77 3
0 78 6
0 79 4
0 80 2
0 81 0
0 82 9
0 83 6
0 84 3
0 85 2
0 86 4
0 87 7
0 88 6
0 89 1
0 90 8
0 91 2
0 92 7
0 93 3
0 94 5
0 95 0
0 96 8
0 97 0
0 98 6
0 99 2
1 2 4
1 3 1
1 4 3
1 5 3
1 6 4
1 7 8
1 8 6
1 9 7
1 10 2
1 11 6
1 12 1
1 13 1
1 14 9
1 15 1
1 16 2
1 17 5
1 18 1
1 19 3
1 20 4
1 21 9
1 22 7
1 23 9
1 24 8
1 25 0
1 26 2
1 27 2
1 28 1
1 29 9
1 30 0
1 31 7
1 32 5
1 33 4
1 34 4
1 35 0
1 36 8
1 37 0
1 38 0
1 39 1
1 40 0
1 41 4
1 42 8
1 43 4
1 44 4
1 45 5
1 46 9
1 47 3
1 48 6
1 49 4
1 50 4
1 51 2
1 52 7
1 53 7
1 54 2
1 55 3
1 56 3
1 57 3
1 58 1
1 59 7
1 60 2
1 61 8
1 62 2
1 63 8
1 64 1
1 65 8
1 66 1
1 67 0
1 68 7
1 69 6
1 70 2
1 71 9
1 72 9
1 73 8
1 74 4
1 75 3
1 76 3
1 77 5
1 78 2
1 79 0
1 80 7
1 81 2
1 82 5
1 83 3
1 84 7
1 85 4
1 86 3
1 87 2
1 88 1
1 89 9
1 90 8
1 91 6
1 92 3
1 93 9
1 94 2
1 95 6
1 96 5
1 97 1
1 98 9
1 99 3
2 3 7
2 4 1
2 5 2
2 6 5
2 7 4
2 8 1
2 9 2
2 10 5
2 11 2
2 12 2
2 13 4
2 14 5
2 15 9
2 16 4
2 17 3
2 18 1
2 19 5
2 20 0
2 21 8
2 22 7
2 23 6
2 24 2
2 25 5
2 26 6
2 27 6
2 28 7
2 29 1
2 30 5
2 31 4
2 32 2
2 33 8
2 34 0
2 35 7
2 36 6
2 37 4
2 38 5
2 39 3
2 40 1
2 41 5
2 42 4
2 43 2
2 44 0
2 45 9
2 46 5
2 47 2
2 48 4
2 49 0
2 50 9
2 51 7
2 52 2
2 53 8
2 54 5
2 55 9
2 56 1
2 57 7
2 58 7
2 59 9
2 60 8
2 61 3
2 62 9
2 63 6
