100 20
0 1 9
0 2 0
0 3 7
0 4 1
0 5 7
0 6 5
0 7 6
0 8 9
0 9 2
0 10 2
0 11 8
0 12 3
0 13 3
0 14 6
0 15 1
0 16 0
0 17 4
0 18 1
0 19 2
0 20 4
0 21 6
0 22 9
0 23 1
0 24 2
0 25 8
0 26 1
0 27 1
0 28 8
0 29 5
0 30 4
0 31 8
0 32 9
0 33 1
0 34 7
0 35 4
0 36 2
0 37 1
0 38 2
0 39 3
0 40 7
0 41 1
0 42 9
0 43 5
0 44 1
0 45 3
0 46 4
0 47 7
0 48 0
0 49 1
0 50 8
0 51 2
0 52 8
0 53 7
0 54 0
0 55 9
0 56 7
0 57 4
0 58 3
0 59 7
0 60 0
0 61 0
0 62 9
0 63 7
0 64 3
0 65 7
0 66 8
0 67 0
0 68 2
0 69 0
0 70 7
0 71 5
0 72 0
0 73 7
0 74 1
0 75 1
0 76 4
0 77 2
0 78 2
0 79 6
0 80 6
0 81 4
0 82 3
0 83 5
0 84 6
0 85 8
0 86 6
0 87 9
0 88 1
0 89 9
0 90 5
0 91 7
0 92 3
0 93 8
0 94 3
0 95 2
0 96 8
0 97 3
0 98 1
0 99 4
1 2 7
1 3 0
1 4 0
1 5 3
1 6 0
1 7 1
1 8 4
1 9 2
1 10 7
1 11 8
1 12 3
1 13 1
1 14 5
1 15 7
1 16 6
1 17 5
1 18 2
1 19 2
1 20 1
1 21 5
1 22 6
1 23 0
1 24 1
1 25 2
1 26 6
1 27 6
1 28 6
1 29 6
1 30 2
1 31 9
1 32 9
1 33 8
1 34 8
1 35 9
1 36 7
1 37 8
1 38 8
1 39 0
1 40 8
1 41 1
1 42 6
1 43 8
1 44 5
1 45 3
1 46 0
1 47 6
1 48 2
1 49 9
1 50 3
1 51 1
1 52 8
1 53 4
1 54 1
1 55 1
1 56 4
1 57 6
1 58 5
1 59 7
1 60 5
1 61 1
1 62 1
1 63 6
1 64 2
1 65 6
1 66 1
1 67 8
1 68 9
1 69 2
1 70 1
1 71 7
1 72 5
1 73 3
1 74 6
1 75 0
1 76 6
1 77 7
1 78 0
1 79 8
1 80 7
1 81 9
1 82 5
1 83 7
1 84 5
1 85 8
1 86 2
1 87 8
1 88 8
1 89 0
1 90 5
1 91 9
1 92 0
1 93 2
1 94 3
1 95 5
1 96 6
1 97 4
1 98 1
1 99 7
2 3 3
2 4 0
2 5 3
2 6 0
2 7 8
2 8 1
2 9 6
2 10 0
2 11 3
2 12 9
2 13 3
2 14 6
2 15 0
2 16 9
2 17 2
2 18 4
2 19 4
2 20 3
2 21 4
2 22 9
2 23 3
2 24 5
2 25 0
2 26 8
2 27 7
2 28 4
2 29 7
2 30 6
2 31 3
2 32 5
2 33 5
2 34 0
2 35 2
2 36 8
2 37 0
2 38 8
2 39 8
2 40 2
2 41 3
2 42 5
2 43 2
2 44 5
2 45 9
2 46 9
2 47 7
2 48 9
2 49 3
2 50 2
2 51 6
2 52 7
2 53 0
2 54 2
2 55 7
2 56 2
2 57 0
2 58 2
2 59 9
2 60 7
2 61 5
2 62 4
2 63 3
2 64 9
2 65 4
2 66 4
2 67 8
2 68 2
2 69 4
2 70 1
2 71 2
2 72 1
2 73 3
2 74 2
2 75 4
2 76 7
2 77 4
2 78 2
2 79 5
2 80 5
2 81 7
2 82 9
2 83 5
2 84 0
2 85 5
2 86 1
2 87 5
2 88 2
2 89 7
2 90 6
2 91 7
2 92 3
2 93 7
2 94 2
2 95 4
2 96 2
2 97 5
2 98 8
2 99 9
3 4 5
3 5 8
3 6 3
3 7 9
3 8 2
3 9 7
3 10 8
3 11 0
3 12 3
3 13 5
3 14 7
3 15 7
3 16 1
3 17 8
3 18 0
3 19 0
3 20 9
3 21 0
3 22 2
3 23 8
3 24 5
3 25 8
3 26 1
3 27 5
3 28 1
3 29 4
3 30 2
3 31 4
3 32 0
3 33 2
3 34 3
3 35 4
3 36 5
3 37 6
3 38 4
3 39 6
3 40 8
3 41 0
3 42 3
3 43 2
3 44 5
3 45 5
3 46 3
3 47 1
3 48 6
3 49 3
3 50 7
3 51 6
3 52 9
3 53 4
3 54 6
3 55 1
3 56 6
3 57 1
3 58 6
3 59 5
3 60 1
3 61 4
3 62 0
3 63 7
3 64 9
3 65 6
3 66 7
3 67 0
3 68 4
3 69 5
3 70 5
3 71 0
3 72 7
3 73 4
3 74 1
3 75 0
3 76 8
3 77 5
3 78 8
3 79 0
3 80 2
3 81 5
3 82 3
3 83 0
3 84 8
3 85 1
3 86 1
3 87 4
3 88 9
3 89 7
3 90 7
3 91 8
3 92 0
3 93 9
3 94 8
3 95 5
3 96 2
3 97 8
3 98 4
3 99 7
4 5 2
4 6 5
4 7 5
4 8 2
4 9 0
4 10 3
4 11 6
4 12 2
4 13 7
4 14 4
4 15 1
4 16 8
4 17 2
4 18 4
4 19 9
4 20 1
4 21 8
4 22 3
4 23 3
4 24 2
4 25 0
4 26 9
4 27 5
4 28 4
4 29 2
4 30 4
4 31 3
4 32 2
4 33 0
4 34 1
4 35 8
4 36 3
4 37 9
4 38 5
4 39 5
4 40 5
4 41 0
4 42 9
4 43 8
4 44 8
4 45 0
4 46 3
4 47 7
4 48 6
4 49 5
4 50 3
4 51 7
4 52 2
4 53 9
4 54 7
4 55 7
4 56 6
4 57 8
4 58 8
4 59 0
4 60 5
4 61 8
4 62 6
4 63 5
4 64 0
4 65 2
4 66 2
4 67 5
4 68 6
4 69 6
4 70 1
4 71 1
4 72 1
4 73 2
4 74 7
4 75 4
4 76 0
4 77 9
4 78 5
4 79 0
4 80 1
4 81 1
4 82 0
4 83 2
4 84 3
4 85 9
4 86 8
4 87 8
4 88 4
4 89 3
4 90 3
4 91 1
4 92 0
4 93 6
4 94 2
4 95 8
4 96 5
4 97 6
4 98 9
4 99 2
5 6 1
5 7 6
5 8 2
5 9 6
5 10 0
5 11 3
5 12 4
5 13 4
5 14 2
5 15 1
5 16 0
5 17 4
5 18 8
5 19 4
5 20 4
5 21 1
5 22 8
5 23 8
5 24 1
5 25 1
5 26 7
5 27 2
5 28 6
5 29 6
5 30 3
5 31 1
5 32 8
5 33 9
5 34 7
5 35 2
5 36 2
5 37 1
5 38 6
5 39 5
5 40 0
5 41 4
5 42 1
5 43 7
5 44 5
5 45 1
5 46 4
5 47 5
5 48 1
5 49 1
5 50 9
5 51 7
5 52 9
5 53 7
5 54 8
5 55 0
5 56 2
5 57 4
5 58 7
5 59 0
5 60 8
5 61 6
5 62 9
5 63 8
5 64 7
5 65 7
5 66 6
5 67 0
5 68 3
5 69 5
5 70 7
