100 30
0 1 0
0 2 4
0 3 4
0 4 3
0 5 3
0 6 5
0 7 1
0 8 3
0 9 4
0 10 6
0 11 7
0 12 4
0 13 3
0 14 9
0 15 8
0 16 7
0 17 3
0 18 9
0 19 5
0 20 0
0 21 1
0 22 6
0 23 0
0 24 3
0 25 8
0 26 6
0 27 9
0 28 8
0 29 4
0 30 9
0 31 0
0 32 8
0 33 8
0 34 2
0 35 2
0 36 1
0 37 5
0 38 1
0 39 8
0 40 9
0 41 0
0 42 3
0 43 7
0 44 7
0 45 3
0 46 1
0 47 2
0 48 1
0 49 9
0 50 4
0 51 8
0 52 3
0 53 0
0 54 8
0 55 6
0 56 5
0 57 5
0 58 3
0 59 4
0 60 3
0 61 3
0 62 3
0 63 1
0 64 2
0 65 7
0 66 9
0 67 8
0 68 8
0 69 6
0 70 7
0 71 5
0 72 7
0 73 0
0 74 3
0 75 2
0 76 9
0 77 5
0 78 7
0 79 6
0 80 7
0 81 9
0 82 1
0 83 0
0 84 5
0 85 4
0 86 0
0 87 6
0 88 7
0 89 4
0 90 6
0 91 7
0 92 4
0 93 2
0 94 9
0 95 5
0 96 2
0 97 3
0 98 0
0 99 2
1 2 6
1 3 0
1 4 0
1 5 4
1 6 9
1 7 2
1 8 7
1 9 6
1 10 7
1 11 8
1 12 9
1 13 4
1 14 9
1 15 1
1 16 7
1 17 5
1 18 1
1 19 9
1 20 7
1 21 6
1 22 8
1 23 9
1 24 9
1 25 6
1 26 3
1 27 3
1 28 0
1 29 3
1 30 1
1 31 0
1 32 5
1 33 1
1 34 0
1 35 1
1 36 0
1 37 5
1 38 9
1 39 7
1 40 0
1 41 7
1 42 4
1 43 1
1 44 2
1 45 7
1 46 3
1 47 5
1 48 3
1 49 3
1 50 1
1 51 3
1 52 3
1 53 1
1 54 0
1 55 3
1 56 3
1 57 8
1 58 5
1 59 2
1 60 3
1 61 5
1 62 1
1 63 4
1 64 8
1 65 8
1 66 0
1 67 6
1 68 9
1 69 7
1 70 2
1 71 9
1 72 7
1 73 7
1 74 1
1 75 0
1 76 3
1 77 2
1 78 8
1 79 8
1 80 3
1 81 1
1 82 4
1 83 4
1 84 4
1 85 4
1 86 6
1 87 8
1 88 7
1 89 8
1 90 3
1 91 8
1 92 0
1 93 0
1 94 6
1 95 0
1 96 2
1 97 6
1 98 5
1 99 8
2 3 0
2 4 5
2 5 9
2 6 6
2 7 5
2 8 4
2 9 0
2 10 4
2 11 2
2 12 8
2 13 2
2 14 1
2 15 1
2 16 7
2 17 3
2 18 7
2 19 1
2 20 1
2 21 9
2 22 8
2 23 4
2 24 9
2 25 3
2 26 1
2 27 9
2 28 1
2 29 6
2 30 7
2 31 2
2 32 4
2 33 4
2 34 2
2 35 8
2 36 3
2 37 3
2 38 0
2 39 5
2 40 7
2 41 3
2 42 9
2 43 1
2 44 7
2 45 4
2 46 6
2 47 4
2 48 2
2 49 0
2 50 3
2 51 5
2 52 3
2 53 5
2 54 1
2 55 1
2 56 2
2 57 2
2 58 4
2 59 8
2 60 2
2 61 2
2 62 1
2 63 3
2 64 4
2 65 1
2 66 8
2 67 5
2 68 9
2 69 6
2 70 2
2 71 3
2 72 6
2 73 1
2 74 1
2 75 3
2 76 4
2 77 2
2 78 3
2 79 9
2 80 9
2 81 7
2 82 7
2 83 7
2 84 2
2 85 5
2 86 4
2 87 8
2 88 0
2 89 2
2 90 2
2 91 9
2 92 2
2 93 3
2 94 5
2 95 7
2 96 3
2 97 5
2 98 3
2 99 3
3 4 2
3 5 7
3 6 9
3 7 5
3 8 5
3 9 5
3 10 0
3 11 4
3 12 1
3 13 9
3 14 4
3 15 8
3 16 3
3 17 4
3 18 4
3 19 0
3 20 3
3 21 0
3 22 7
3 23 7
3 24 6
3 25 3
3 26 8
3 27 9
3 28 2
3 29 0
3 30 3
3 31 6
3 32 6
3 33 2
3 34 9
3 35 0
3 36 8
3 37 3
3 38 3
3 39 4
3 40 5
3 41 3
3 42 7
3 43 5
3 44 8
3 45 7
3 46 7
3 47 8
3 48 5
3 49 8
3 50 9
3 51 1
3 52 7
3 53 2
3 54 1
3 55 3
3 56 9
3 57 2
3 58 3
3 59 1
3 60 6
3 61 4
3 62 3
3 63 5
3 64 3
3 65 8
3 66 1
3 67 7
3 68 4
3 69 6
3 70 6
3 71 3
3 72 7
3 73 0
3 74 9
3 75 9
3 76 6
3 77 3
3 78 9
3 79 8
3 80 6
3 81 4
3 82 4
3 83 4
3 84 2
3 85 8
3 86 7
3 87 6
3 88 2
3 89 9
3 90 8
3 91 8
3 92 4
3 93 8
3 94 0
3 95 6
3 96 5
3 97 9
3 98 9
3 99 9
4 5 3
4 6 9
4 7 3
4 8 3
4 9 8
4 10 3
4 11 9
4 12 6
4 13 2
4 14 9
4 15 4
4 16 5
4 17 0
4 18 3
4 19 1
4 20 0
4 21 5
4 22 2
4 23 9
4 24 3
4 25 8
4 26 0
4 27 8
4 28 4
4 29 0
4 30 1
4 31 0
4 32 8
4 33 4
4 34 6
4 35 4
4 36 6
4 37 0
4 38 7
4 39 7
4 40 5
4 41 7
4 42 0
4 43 8
4 44 3
4 45 9
4 46 9
4 47 2
4 48 7
4 49 3
4 50 9
4 51 4
4 52 6
4 53 8
4 54 1
4 55 1
4 56 4
4 57 3
4 58 3
4 59 0
4 60 4
4 61 6
4 62 2
4 63 5
4 64 4
4 65 1
4 66 3
4 67 0
4 68 8
4 69 9
4 70 1
4 71 6
4 72 0
4 73 3
4 74 8
4 75 1
4 76 9
4 77 1
4 78 6
4 79 8
4 80 8
4 81 2
4 82 6
4 83 5
4 84 5
4 85 9
4 86 9
4 87 8
4 88 6
4 89 9
4 90 3
4 91 0
4 92 8
4 93 0
4 94 7
4 95 0
4 96 4
4 97 3
4 98 7
4 99 3
5 6 5
5 7 9
5 8 3
5 9 9
5 10 6
5 11 5
5 12 4
5 13 0
5 14 3
5 15 1
5 16 8
5 17 9
5 18 6
5 19 7
5 20 6
5 21 8
5 22 9
5 23 5
5 24 3
5 25 7
5 26 3
5 27 9
5 28 3
5 29 0
5 30 6
5 31 7
5 32 5
5 33 4
5 34 4
5 35 0
5 36 6
5 37 3
5 38 0
5 39 0
5 40 8
5 41 4
5 42 6
5 43 9
5 44 9
5 45 4
5 46 8
5 47 6
5 48 9
5 49 1
5 50 8
5 51 6
5 52 0
5 53 3
5 54 6
5 55 7
5 56 4
5 57 6
5 58 0
5 59 2
5 60 6
5 61 8
5 62 5
5 63 2
5 64 3
5 65 2
5 66 4
5 67 1
5 68 6
5 69 7
5 70 6
5 71 9
5 72 1
5 73 7
5 74 9
5 75 6
5 76 8
5 77 3
5 78 0
5 79 1
5 80 3
5 81 5
5 82 0
5 83 4
5 84 9
5 85 1
5 86 5
5 87 5
5 88 8
5 89 5
5 90 1
5 91 9
5 92 4
5 93 8
5 94 8
5 95 3
5 96 7
5 97 3
5 98 4
5 99 6
6 7 9
6 8 7
6 9 2
6 10 0
6 11 9
6 12 9
6 13 9
6 14 0
6 15 9
6 16 9
6 17 7
6 18 7
6 19 9
6 20 2
6 21 2
6 22 4
6 23 3
6 24 4
6 25 9
6 26 3
6 27 1
6 28 1
6 29 6
6 30 0
6 31 5
6 32 0
6 33 4
6 34 5
6 35 9
6 36 3
6 37 9
6 38 4
6 39 4
6 40 3
6 41 0
6 42 7
6 43 3
6 44 9
6 45 4
6 46 1
6 47 8
6 48 4
6 49 4
6 50 5
6 51 6
6 52 4
6 53 6
6 54 1
6 55 0
6 56 9
6 57 4
6 58 6
6 59 5
6 60 6
6 61 9
6 62 1
6 63 8
6 64 1
6 65 9
6 66 5
6 67 0
6 68 7
6 69 5
6 70 5
6 71 6
6 72 5
6 73 3
6 74 9
6 75 6
6 76 6
6 77 5
6 78 4
6 79 4
6 80 1
6 81 7
6 82 5
6 83 3
6 84 0
6 85 9
6 86 5
6 87 3
6 88 2
6 89 1
6 90 8
6 91 3
6 92 8
6 93 0
6 94 9
6 95 4
6 96 9
6 97 4
6 98 0
6 99 3
7 8 3
7 9 0
7 10 3
7 11 1
7 12 8
7 13 1
7 14 4
7 15 1
7 16 6
7 17 2
7 18 8
7 19 6
7 20 5
7 21 5
7 22 7
7 23 4
7 24 9
7 25 7
7 26 4
7 27 4
7 28 3
7 29 2
7 30 4
7 31 0
7 32 6
7 33 7
7 34 0
7 35 7
