100 10
0 1 0
0 2 3
0 3 4
0 4 7
0 5 9
0 6 2
0 7 2
0 8 4
0 9 1
0 10 7
0 11 9
0 12 9
0 13 5
0 14 1
0 15 9
0 16 9
0 17 5
0 18 7
0 19 1
0 20 4
0 21 3
0 22 9
0 23 0
0 24 2
0 25 4
0 26 2
0 27 9
0 28 3
0 29 6
0 30 6
0 31 7
0 32 3
0 33 8
0 34 7
0 35 5
0 36 9
0 37 7
0 38 0
0 39 1
0 40 1
0 41 2
0 42 4
0 43 3
0 44 5
0 45 2
0 46 0
0 47 4
0 48 5
0 49 5
0 50 7
0 51 4
0 52 3
0 53 4
0 54 2
0 55 5
0 56 4
0 57 1
0 58 6
0 59 5
0 60 7
0 61 7
0 62 7
0 63 7
0 64 8
0 65 7
0 66 9
0 67 8
0 68 5
0 69 8
0 70 3
0 71 5
0 72 7
0 73 7
0 74 0
0 75 8
0 76 3
0 77 2
0 78 9
0 79 2
0 80 9
0 81 1
0 82 5
0 83 0
0 84 6
0 85 9
0 86 6
0 87 3
0 88 0
0 89 9
0 90 2
0 91 8
0 92 1
0 93 0
0 94 0
0 95 0
0 96 1
0 97 2
0 98 3
0 99 4
1 2 2
1 3 5
1 4 4
1 5 7
1 6 1
1 7 3
1 8 2
1 9 6
1 10 6
1 11 2
1 12 1
1 13 1
1 14 6
1 15 1
1 16 4
1 17 2
1 18 3
1 19 3
1 20 8
1 21 4
1 22 8
1 23 2
1 24 2
1 25 5
1 26 6
1 27 1
1 28 9
1 29 7
1 30 4
1 31 6
1 32 4
1 33 5
1 34 0
1 35 9
1 36 9
1 37 3
1 38 7
1 39 2
1 40 9
1 41 1
1 42 2
1 43 6
1 44 8
1 45 0
1 46 9
1 47 2
1 48 4
1 49 7
1 50 7
1 51 8
1 52 9
1 53 6
1 54 3
1 55 3
1 56 8
1 57 9
1 58 2
1 59 0
1 60 3
1 61 2
1 62 7
1 63 2
1 64 7
1 65 9
1 66 1
1 67 8
1 68 2
1 69 0
1 70 2
1 71 7
1 72 7
1 73 7
1 74 1
1 75 6
1 76 0
1 77 5
1 78 2
1 79 5
1 80 5
1 81 5
1 82 9
1 83 1
1 84 8
1 85 2
1 86 0
1 87 7
1 88 7
1 89 7
1 90 9
1 91 6
1 92 4
1 93 2
1 94 9
1 95 6
1 96 0
1 97 6
1 98 0
1 99 8
2 3 1
2 4 9
2 5 0
2 6 8
2 7 2
2 8 8
2 9 0
2 10 1
2 11 6
2 12 8
2 13 0
2 14 8
2 15 0
2 16 7
2 17 4
2 18 0
2 19 5
2 20 2
2 21 4
2 22 0
2 23 7
2 24 9
2 25 9
2 26 0
2 27 0
2 28 7
2 29 5
2 30 9
2 31 3
2 32 9
2 33 1
2 34 9
2 35 9
2 36 5
2 37 8
2 38 9
2 39 0
2 40 0
2 41 9
2 42 0
2 43 5
2 44 7
2 45 5
2 46 2
2 47 4
2 48 8
2 49 2
2 50 3
2 51 9
2 52 9
2 53 1
2 54 8
2 55 7
2 56 4
2 57 0
2 58 0
2 59 3
2 60 4
2 61 0
2 62 9
2 63 9
2 64 0
2 65 2
2 66 4
2 67 7
2 68 2
2 69 9
2 70 1
2 71 8
2 72 9
2 73 0
2 74 1
2 75 6
2 76 0
2 77 6
2 78 1
2 79 7
2 80 1
2 81 9
2 82 4
2 83 8
2 84 5
2 85 7
2 86 3
2 87 0
2 88 4
2 89 6
2 90 5
2 91 1
2 92 4
2 93 6
2 94 7
2 95 3
2 96 3
2 97 1
2 98 2
2 99 9
3 4 4
3 5 0
3 6 0
3 7 8
3 8 6
3 9 7
3 10 3
3 11 8
3 12 1
3 13 1
3 14 3
3 15 5
3 16 8
3 17 0
3 18 2
3 19 1
3 20 8
3 21 2
3 22 5
3 23 7
3 24 3
3 25 7
3 26 1
3 27 3
3 28 4
3 29 9
3 30 6
3 31 2
3 32 9
3 33 2
3 34 3
3 35 1
3 36 6
3 37 6
3 38 7
3 39 9
3 40 5
3 41 1
3 42 3
3 43 4
3 44 4
3 45 2
3 46 4
3 47 6
3 48 0
3 49 1
3 50 5
3 51 9
3 52 4
3 53 1
3 54 5
3 55 9
3 56 1
3 57 7
3 58 6
3 59 2
3 60 9
3 61 1
3 62 3
3 63 4
3 64 5
3 65 4
3 66 6
3 67 1
3 68 2
3 69 7
3 70 4
3 71 6
3 72 9
3 73 1
3 74 1
3 75 7
3 76 3
3 77 2
3 78 0
3 79 9
3 80 5
3 81 7
3 82 7
3 83 2
3 84 9
3 85 6
3 86 0
3 87 5
3 88 3
3 89 2
3 90 4
3 91 9
3 92 6
3 93 2
3 94 1
3 95 3
3 96 0
3 97 6
3 98 1
3 99 1
4 5 9
4 6 2
4 7 1
4 8 4
4 9 4
4 10 0
4 11 7
4 12 1
4 13 4
4 14 3
4 15 8
4 16 4
4 17 0
4 18 8
4 19 5
4 20 1
4 21 6
4 22 1
4 23 8
4 24 6
4 25 9
4 26 3
4 27 9
4 28 8
4 29 0
4 30 8
4 31 2
4 32 2
4 33 8
4 34 8
4 35 0
4 36 5
4 37 4
4 38 8
4 39 3
4 40 5
4 41 7
4 42 6
4 43 4
4 44 7
4 45 1
4 46 7
4 47 6
4 48 2
4 49 0
4 50 5
4 51 3
4 52 1
4 53 7
4 54 2
4 55 9
4 56 2
4 57 0
4 58 8
4 59 5
4 60 4
4 61 3
4 62 5
4 63 8
4 64 3
4 65 5
4 66 7
4 67 0
4 68 2
4 69 3
4 70 9
4 71 2
4 72 9
4 73 6
4 74 4
4 75 7
4 76 9
4 77 5
4 78 7
4 79 4
4 80 9
4 81 5
4 82 6
4 83 2
4 84 6
4 85 2
4 86 0
4 87 6
4 88 0
4 89 2
4 90 0
4 91 6
4 92 3
4 93 3
4 94 8
4 95 5
4 96 2
4 97 6
4 98 2
4 99 9
5 6 8
5 7 0
5 8 3
5 9 6
5 10 1
5 11 1
5 12 7
5 13 1
5 14 7
5 15 1
5 16 3
5 17 3
5 18 3
5 19 2
5 20 1
5 21 6
5 22 9
5 23 2
5 24 9
5 25 6
5 26 6
5 27 0
5 28 2
5 29 1
5 30 9
5 31 8
5 32 6
5 33 6
5 34 9
5 35 8
5 36 7
5 37 5
5 38 6
5 39 5
5 40 4
5 41 9
5 42 2
5 43 1
5 44 0
5 45 9
5 46 3
5 47 9
5 48 8
5 49 8
5 50 1
5 51 8
5 52 9
